election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,213 - SOUTHSIDE,266,4,431,82,4,787,1966,126,2092,40%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,217 - POCOSHOCK SOUTH,101,3,234,62,2,402,1039,66,1105,39%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,218 - NEW MANCHESTER,164,3,630,30,2,829,1664,96,1760,50%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,219 - GATES EAST,195,1,355,61,4,616,1723,166,1889,36%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,220 - FALLING CREEK EAST,45,0,72,22,2,141,507,42,549,28%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,301 - ETTRICK,355,35,681,136,5,1212,4462,786,5248,27%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,302 - DEER RUN,204,4,351,59,4,622,1358,79,1437,46%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,303 - MATOACA,719,7,1062,180,5,1973,4390,218,4608,45%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,304 - WINFREES STORE,389,1,774,111,2,1277,2679,107,2786,48%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,305 - BEACH,196,1,438,52,5,692,1263,45,1308,55%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,306 - WINTERPOCK,496,9,1372,164,12,2053,3905,116,4021,53%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,307 - COSBY,335,14,1112,124,14,1599,3366,207,3573,48%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,308 - SOUTH MANCHESTER,146,12,272,61,6,497,1460,187,1647,34%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,309 - SKINQUARTER,458,10,995,211,13,1687,3243,137,3380,52%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,313 - WOOLRIDGE SOUTH,482,15,862,253,10,1622,3087,159,3246,53%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,314 - LONGHOUSE,307,3,517,79,4,910,1804,71,1875,50%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,315 - BAILEY BRIDGE,596,6,1140,159,5,1906,3758,175,3933,51%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,316 - SPRING RUN,365,11,1018,88,4,1486,3427,199,3626,43%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,317 - BIRKDALE,556,9,954,224,9,1752,3304,119,3423,53%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,318 - WEST BEACH,142,4,375,49,5,575,1144,42,1186,50%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,319 - MAGNOLIA,740,27,1993,329,9,3098,6068,309,6377,51%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,320 - DRY CREEK,828,8,1374,361,18,2589,5205,268,5473,50%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,401 - HARBOUR POINTE,301,10,687,157,6,1161,2095,124,2219,55%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,402 - GENITO,478,14,813,176,9,1490,3257,186,3443,46%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,403 - BRANDERMILL,449,14,1141,304,18,1926,3577,225,3802,54%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,404 - PROVIDENCE,410,15,910,176,8,1519,3175,215,3390,48%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,405 - LA PRADE,673,9,904,199,13,1798,3246,168,3414,55%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,406 - SMOKETREE,578,5,947,149,7,1686,2616,104,2720,64%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,407 - MONACAN,407,3,605,115,5,1135,1901,99,2000,60%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,408 - REAMS,246,3,536,101,5,891,1946,141,2087,46%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,410 - WAGSTAFF,87,1,201,16,0,305,741,42,783,41%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,411 - SWIFT CREEK,401,13,1149,218,17,1798,3111,206,3317,58%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,412 - CLOVER HILL,506,11,1092,223,19,1851,4358,246,4604,42%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,413 - SHENANDOAH,293,8,891,123,12,1327,2815,197,3012,47%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,414 - CRENSHAW,499,8,1302,235,11,2055,5478,372,5850,38%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,415 - EVERGREEN,526,8,1031,176,13,1754,3337,158,3495,53%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,416 - EVERGREEN WEST,229,17,666,154,7,1073,2508,230,2738,43%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,417 - EDGEWATER,260,5,709,129,6,1109,2155,86,2241,51%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,418 - WOOLRIDGE NORTH,267,8,826,155,13,1269,2223,145,2368,57%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,419 - NORTH COURTHOUSE,284,7,601,99,7,998,2400,169,2569,42%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,420 - NEW TOMAHAWK,345,17,1220,199,18,1799,3205,200,3405,56%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,501 - HUGUENOT,150,7,877,138,9,1181,2144,123,2267,55%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,502 - CRESTWOOD,178,7,698,116,8,1007,1609,92,1701,63%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,503 - MIDLOTHIAN,435,20,1217,339,15,2026,3918,236,4154,52%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,504 - ROBIOUS,765,28,1803,514,25,3135,5042,198,5240,62%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,505 - BON AIR,419,93,1243,243,17,2015,3101,111,3212,65%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,506 - GREENFIELD,273,15,1188,174,13,1663,3127,201,3328,53%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,507 - SALISBURY,514,9,1770,289,12,2594,4193,168,4361,62%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,508 - BELGRADE,444,10,926,303,9,1692,3693,282,3975,46%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,509 - CRANBECK,137,14,708,104,9,972,2289,270,2559,42%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,510 - SYCAMORE,336,3,491,91,5,926,1421,51,1472,65%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,511 - BLACK HEATH,256,7,968,110,14,1355,2065,58,2123,66%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,513 - BEAUFONT,81,5,429,49,2,566,1840,262,2102,31%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,514 - WATKINS,535,17,1317,274,16,2159,3806,185,3991,57%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,515 - DAVIS,258,9,625,120,13,1025,2976,349,3325,34%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,516 - POCOSHOCK NORTH,177,4,219,62,2,464,1054,57,1111,44%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,517 - ROSELAND,226,11,1121,157,19,1534,2752,112,2864,56%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,518 - MIDLOTHIAN NORTH,497,22,1349,350,24,2242,4026,214,4240,56%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,519 - BUFORD,23,3,50,25,0,101,220,19,239,46%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,520 - WALTON PARK,299,2,680,93,9,1083,1844,85,1929,59%
2023 November General and Special Elections,11/7/2023 0:00,CHESTERFIELD COUNTY,CHESTERFIELD COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,101 - RUSSELL,316,6,834,80,3,1239,2451,144,2595,51%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,201 - BERRYVILLE,246,3,696,69,3,1017,2204,181,2385,46%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,301 - MILLWOOD,224,12,593,76,4,909,1773,136,1909,51%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,302 - PINE GROVE,75,6,290,27,,398,731,54,785,54%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,401 - WHITE POST,213,6,769,80,2,1070,2174,159,2333,49%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,501 - BUCKMARSH,221,4,509,42,3,779,1535,114,1649,51%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,502 - BLUE RIDGE,55,4,234,18,1,312,591,42,633,53%
2023 November General and Special Elections,11/7/2023 0:00,CLARKE COUNTY,CLARKE COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,COLONIAL HEIGHTS CITY,001 - FIRST,131,2,365,35,3,536,1814,222,2036,30%
2023 November General and Special Elections,11/7/2023 0:00,COLONIAL HEIGHTS CITY,002 - SECOND,172,5,463,50,1,691,2213,240,2453,31%
2023 November General and Special Elections,11/7/2023 0:00,COLONIAL HEIGHTS CITY,003 - THIRD,268,7,526,60,,861,2399,226,2625,36%
2023 November General and Special Elections,11/7/2023 0:00,COLONIAL HEIGHTS CITY,004 - FOURTH,441,2,534,121,1,1099,2869,306,3175,38%
2023 November General and Special Elections,11/7/2023 0:00,COLONIAL HEIGHTS CITY,005 - FIFTH,444,6,714,80,,1244,2500,147,2647,50%
2023 November General and Special Elections,11/7/2023 0:00,COLONIAL HEIGHTS CITY,COLONIAL HEIGHTS CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,COVINGTON CITY,101 - PRECINCT 1-1,31,1,223,9,1,265,632,58,690,42%
2023 November General and Special Elections,11/7/2023 0:00,COVINGTON CITY,201 - PRECINCT 2-1,40,1,237,8,,286,715,51,766,40%
2023 November General and Special Elections,11/7/2023 0:00,COVINGTON CITY,301 - PRECINCT 3-1,22,2,180,16,,220,657,72,729,33%
2023 November General and Special Elections,11/7/2023 0:00,COVINGTON CITY,401 - PRECINCT 4-1,40,3,381,10,,434,795,40,835,55%
2023 November General and Special Elections,11/7/2023 0:00,COVINGTON CITY,501 - PRECINCT 5-1,38,1,369,8,,416,773,29,802,54%
2023 November General and Special Elections,11/7/2023 0:00,COVINGTON CITY,COVINGTON CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,101 - COURT HOUSE,48,1,207,9,1,266,695,47,742,38%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,201 - AMMENDALE PRECINCT,58,1,276,21,,356,755,30,785,47%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,301 - GIVENS & REYNOLDS STORE,7,2,193,15,1,218,481,21,502,45%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,303 - MARSHALLS STORE,32,,109,9,,150,336,12,348,45%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,401 - BARBOURS CREEK,26,1,134,2,,163,348,21,369,47%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,402 - PAINT BANK,2,,27,,,29,71,5,76,41%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,403 - CRAIG SPRINGS,24,,122,6,,152,352,23,375,43%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,501 - CRAIG CITY,78,1,207,15,1,302,704,42,746,43%
2023 November General and Special Elections,11/7/2023 0:00,CRAIG COUNTY,CRAIG COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,101 - WEST FAIRFAX,573,15,1161,176,,1925,4424,307,4731,44%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,201 - EAST FAIRFAX,334,11,866,132,,1343,3950,292,4242,34%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,302 - EGGBORNSVILLE,203,4,627,85,,919,1908,66,1974,48%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,303 - CARDOVA,179,6,619,72,,876,1956,96,2052,45%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,304 - WILLOW SHADE,133,2,331,47,,513,1193,99,1292,43%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,401 - ELDORADO,196,8,869,87,,1160,2171,82,2253,53%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,402 - BROWNS STORE,520,9,1239,158,,1926,3556,113,3669,54%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,501 - JEFFERSONTON,218,10,1155,135,,1518,3064,147,3211,50%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,502 - RIXEYVILLE,310,6,995,117,,1428,2781,109,2890,51%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,601 - MITCHELLS,30,,185,11,,226,427,19,446,53%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,602 - PEARL SAMPLE,456,9,903,170,,1538,3312,170,3482,46%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,603 - SOUTH RIDGE,85,1,285,33,,404,1031,93,1124,39%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,702 - BRANDY STATION,399,12,1235,135,,1781,3645,174,3819,49%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,703 - LIGNUM,90,4,524,37,,655,1316,55,1371,50%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,704 - RICHARDSVILLE,39,7,357,16,,419,789,40,829,53%
2023 November General and Special Elections,11/7/2023 0:00,CULPEPER COUNTY,CULPEPER COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,CUMBERLAND COUNTY,101 - PRECINCT 1,115,1,575,25,,716,1466,52,1518,49%
2023 November General and Special Elections,11/7/2023 0:00,CUMBERLAND COUNTY,201 - PRECINCT 2,186,5,466,18,,675,1484,54,1538,45%
2023 November General and Special Elections,11/7/2023 0:00,CUMBERLAND COUNTY,301 - PRECINCT 3,207,8,388,37,,640,1467,58,1525,44%
2023 November General and Special Elections,11/7/2023 0:00,CUMBERLAND COUNTY,401 - PRECINCT 4,128,7,524,31,2,692,1422,44,1466,49%
2023 November General and Special Elections,11/7/2023 0:00,CUMBERLAND COUNTY,501 - PRECINCT 5,75,3,457,39,,574,1287,87,1374,45%
2023 November General and Special Elections,11/7/2023 0:00,CUMBERLAND COUNTY,CUMBERLAND COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,001 - WARD ONE,15,,91,30,,136,848,144,992,16%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,002 - WARD TWO,14,,94,23,,131,834,132,966,16%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,003 - WARD THREE,35,,171,36,3,245,1494,211,1705,16%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,004 - WARD FOUR,57,1,397,62,1,518,2931,318,3249,18%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,006 - WARD SIX,5,1,41,58,2,107,812,114,926,13%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,007 - WARD SEVEN,12,,158,30,,200,1580,219,1799,13%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,008 - WARD EIGHT,17,1,152,23,,193,1364,129,1493,14%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,009 - WARD NINE,31,1,157,22,,211,1232,94,1326,17%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,010 - WARD TEN,39,,223,39,1,302,1616,178,1794,19%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,011 - WARD ELEVEN,38,3,268,53,,362,2352,232,2584,15%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,012 - WARD TWELVE,43,3,281,82,1,410,2219,201,2420,18%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,013 - WARD THIRTEEN,35,7,303,43,1,389,2106,259,2365,18%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,014 - WARD FOURTEEN,6,,26,11,1,44,354,41,395,12%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,015 - WARD FIFTEEN,29,4,284,49,2,368,2015,176,2191,18%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,016 - WARD SIXTEEN,39,,371,33,2,445,2117,174,2291,21%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,017 - WARD SEVENTEEN,55,1,324,74,1,455,1818,123,1941,25%
2023 November General and Special Elections,11/7/2023 0:00,DANVILLE CITY,DANVILLE CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,101 - SOUTH CLINTWOOD,400,6,571,64,,1041,1919,133,2052,54%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,201 - NORA,51,1,195,22,,269,665,61,726,40%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,202 - FRYING PAN,13,1,90,7,,111,242,19,261,46%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,203 - CLINCHCO,80,2,304,18,,404,876,77,953,46%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,301 - WEST DANTE,6,,102,2,,110,261,20,281,42%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,302 - HERALD,4,1,182,11,,198,543,26,569,36%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,303 - RIDGE,59,6,211,12,,288,558,62,620,52%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,304 - LONGS FORK,50,,170,12,1,233,490,42,532,48%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,401 - HAYSI-COLLEY,104,9,682,57,,852,1829,170,1999,47%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,501 - TARPON,62,3,129,9,1,204,425,26,451,48%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,502 - NORTH CLINTWOOD,331,7,481,77,1,897,1559,111,1670,58%
2023 November General and Special Elections,11/7/2023 0:00,DICKENSON COUNTY,DICKENSON COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,101 - WHITE OAK,78,2,329,23,1,433,752,34,786,58%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,102 - ROCKY RUN,212,6,455,65,2,740,1327,67,1394,56%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,103 - CHURCH ROAD,261,13,812,63,2,1151,1890,67,1957,61%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,201 - ROHOIC,137,7,337,31,1,513,1149,95,1244,45%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,202 - SUTHERLAND,427,5,941,106,3,1482,2864,145,3009,52%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,301 - REAMS,68,1,366,19,1,455,788,42,830,58%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,302 - NEW HOPE,182,7,469,74,1,733,1410,70,1480,52%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,303 - LITTLE ZION,421,5,612,91,5,1134,2081,100,2181,54%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,401 - DINWIDDIE,465,3,633,73,1,1175,2086,98,2184,56%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,402 - MCKENNEY,138,2,450,46,,636,1290,70,1360,49%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,403 - CHERRY HILL,121,4,288,19,,432,771,37,808,56%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,501 - EDGEHILL,105,,237,36,2,380,971,98,1069,39%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,502 - CHESDIN,284,6,737,118,6,1151,2497,178,2675,46%
2023 November General and Special Elections,11/7/2023 0:00,DINWIDDIE COUNTY,DINWIDDIE COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,101 - PRECINCT 1-1,34,0,221,22,0,277,632,57,689,44%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,201 - PRECINCT 2-1,29,0,90,25,0,144,446,39,485,32%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,301 - PRECINCT 3-1,59,2,179,20,0,260,550,52,602,47%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,401 - PRECINCT 4-1,30,0,160,23,1,214,526,34,560,41%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,501 - PRECINCT 5-1,33,0,96,12,0,141,442,53,495,32%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,601 - DISTRICT 6,70,3,188,10,0,271,601,41,642,45%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,701 - DISTRICT 7,17,0,100,17,0,134,458,47,505,29%
2023 November General and Special Elections,11/7/2023 0:00,EMPORIA CITY,EMPORIA CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,ESSEX COUNTY,101 - GREATER TAPPAHANNOCK,270,3,442,40,,755,1756,202,1958,43%
2023 November General and Special Elections,11/7/2023 0:00,ESSEX COUNTY,201 - NORTH,329,1,507,63,,900,2050,126,2176,44%
2023 November General and Special Elections,11/7/2023 0:00,ESSEX COUNTY,301 - SOUTH,287,2,659,54,,1002,2052,112,2164,49%
2023 November General and Special Elections,11/7/2023 0:00,ESSEX COUNTY,401 - CENTRAL,341,6,577,50,2,976,1963,90,2053,50%
2023 November General and Special Elections,11/7/2023 0:00,ESSEX COUNTY,ESSEX COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,001 - ONE,255,14,650,102,12,1033,2476,216,2692,42%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,002 - TWO,339,17,853,158,30,1397,2826,163,2989,49%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,003 - THREE,421,19,913,229,42,1624,3580,327,3907,45%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,004 - FOUR,507,9,662,131,15,1324,2676,199,2875,49%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,005 - FIVE,267,11,670,136,18,1102,2531,300,2831,44%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,006 - SIX,189,16,676,111,12,1004,2475,220,2695,41%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX CITY,FAIRFAX CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,104 - CHAPEL,242,7,921,162,42,1374,2421,127,2548,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,105 - FAIRVIEW,663,26,1417,266,94,2466,4746,357,5103,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,106 - HERITAGE,104,16,804,133,42,1099,3895,443,4338,28%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,108 - KINGS PARK,248,27,1120,173,51,1619,3136,186,3322,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,109 - LITTLE RUN,102,7,580,91,23,803,1620,93,1713,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,110 - NORTH SPRINGFIELD,201,18,1317,248,83,1867,4287,284,4571,44%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,113 - CANTERBURY,335,14,1396,255,76,2076,3747,208,3955,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,114 - OLDE CREEK,223,15,781,148,41,1208,2277,145,2422,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,115 - RAVENSWORTH,66,8,697,76,35,882,1776,92,1868,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,116 - WAKEFIELD,195,14,922,153,38,1322,2322,137,2459,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,117 - WOODSON #1,148,11,596,144,27,926,1947,146,2093,48%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,118 - LAKE BRADDOCK,328,25,1185,196,53,1787,4155,317,4472,43%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,119 - LAUREL,373,17,1344,228,72,2034,4000,382,4382,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,120 - SIDEBURN #1,95,8,408,54,18,583,1046,74,1120,56%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,121 - VILLA,132,3,652,86,31,904,2077,197,2274,44%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,123 - ROBINSON,377,15,1301,267,65,2025,4304,321,4625,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,125 - SIGNAL HILL,399,14,1031,242,52,1738,3160,173,3333,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,126 - BONNIE BRAE,186,10,849,127,56,1228,2457,167,2624,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,127 - BURKE CENTRE,423,21,1312,213,69,2038,4571,416,4987,45%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,128 - CARDINAL,203,12,757,94,37,1103,2379,176,2555,46%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,129 - KEENE MILL,139,5,610,83,35,872,1778,119,1897,49%
